bug: ap_get_conn_socket in process_socket, pair: (ap_get_conn_socket, apr_socket_timeout_set), support: 4, confidence: 66.67%
bug: apr_hook_sort_register in ap_hook_post_config, pair: (apr_hook_debug_show, apr_hook_sort_register), support: 63, confidence: 98.44%
bug: apr_hook_sort_register in ap_hook_post_config, pair: (apr_array_push, apr_hook_sort_register), support: 63, confidence: 98.44%
bug: apr_hook_sort_register in ap_hook_post_config, pair: (apr_array_make, apr_hook_sort_register), support: 63, confidence: 98.44%
bug: apr_array_make in ap_hook_post_config, pair: (apr_array_make, apr_array_push), support: 83, confidence: 82.18%
bug: apr_pstrcatv in ap_make_content_type, pair: (apr_pstrcatv, strlen), support: 4, confidence: 80.00%
bug: apr_hook_debug_show in ap_hook_insert_filter, pair: (apr_array_push, apr_hook_debug_show), support: 63, confidence: 98.44%
bug: apr_hook_debug_show in ap_hook_insert_filter, pair: (apr_hook_debug_show, apr_hook_sort_register), support: 63, confidence: 98.44%
bug: apr_hook_debug_show in ap_hook_insert_filter, pair: (apr_array_make, apr_hook_debug_show), support: 63, confidence: 98.44%
bug: apr_array_push in ap_hook_insert_filter, pair: (apr_array_make, apr_array_push), support: 83, confidence: 70.34%
bug: apr_hook_sort_register in ap_hook_insert_filter, pair: (apr_hook_debug_show, apr_hook_sort_register), support: 63, confidence: 98.44%
bug: apr_hook_sort_register in ap_hook_insert_filter, pair: (apr_array_push, apr_hook_sort_register), support: 63, confidence: 98.44%
bug: apr_hook_sort_register in ap_hook_insert_filter, pair: (apr_array_make, apr_hook_sort_register), support: 63, confidence: 98.44%
bug: apr_array_make in ap_hook_insert_filter, pair: (apr_array_make, apr_array_push), support: 83, confidence: 82.18%
bug: ap_is_url in ap_psignature, pair: (ap_is_url, apr_pstrcat), support: 3, confidence: 75.00%
bug: apr_hook_debug_show in ap_register_config_hooks, pair: (apr_array_push, apr_hook_debug_show), support: 63, confidence: 98.44%
bug: apr_hook_debug_show in ap_register_config_hooks, pair: (apr_hook_debug_show, apr_hook_sort_register), support: 63, confidence: 98.44%
bug: apr_hook_debug_show in ap_register_config_hooks, pair: (apr_array_make, apr_hook_debug_show), support: 63, confidence: 98.44%
bug: apr_array_push in ap_register_config_hooks, pair: (apr_array_make, apr_array_push), support: 83, confidence: 70.34%
bug: apr_hook_sort_register in ap_register_config_hooks, pair: (apr_hook_debug_show, apr_hook_sort_register), support: 63, confidence: 98.44%
bug: apr_hook_sort_register in ap_register_config_hooks, pair: (apr_array_push, apr_hook_sort_register), support: 63, confidence: 98.44%
bug: apr_hook_sort_register in ap_register_config_hooks, pair: (apr_array_make, apr_hook_sort_register), support: 63, confidence: 98.44%
bug: apr_array_make in ap_register_config_hooks, pair: (apr_array_make, apr_array_push), support: 83, confidence: 82.18%
bug: mxcfg_lookup in ap_dump_mutexes, pair: (ap_server_root_relative, mxcfg_lookup), support: 3, confidence: 150.00%
bug: sigemptyset in child_main, pair: (ap_log_error_, sigemptyset), support: 4, confidence: 100.00%
bug: ap_is_recursion_limit_exceeded in internal_internal_redirect, pair: (ap_is_recursion_limit_exceeded, ap_process_request_internal), support: 3, confidence: 75.00%
bug: ap_die_r in internal_internal_redirect, pair: (ap_die_r, ap_process_request_internal), support: 4, confidence: 66.67%
bug: ap_die_r in internal_internal_redirect, pair: (ap_die_r, ap_invoke_handler), support: 4, confidence: 66.67%
bug: apr_hook_debug_show in ap_hook_translate_name, pair: (apr_array_push, apr_hook_debug_show), support: 63, confidence: 98.44%
bug: apr_hook_debug_show in ap_hook_translate_name, pair: (apr_hook_debug_show, apr_hook_sort_register), support: 63, confidence: 98.44%
bug: apr_hook_debug_show in ap_hook_translate_name, pair: (apr_array_make, apr_hook_debug_show), support: 63, confidence: 98.44%
bug: apr_array_push in ap_hook_translate_name, pair: (apr_array_make, apr_array_push), support: 83, confidence: 70.34%
bug: apr_hook_sort_register in ap_hook_translate_name, pair: (apr_hook_debug_show, apr_hook_sort_register), support: 63, confidence: 98.44%
bug: apr_hook_sort_register in ap_hook_translate_name, pair: (apr_array_push, apr_hook_sort_register), support: 63, confidence: 98.44%
bug: apr_hook_sort_register in ap_hook_translate_name, pair: (apr_array_make, apr_hook_sort_register), support: 63, confidence: 98.44%
bug: apr_array_make in ap_hook_translate_name, pair: (apr_array_make, apr_array_push), support: 83, confidence: 82.18%
bug: qsort in ap_dir_nofnmatch, pair: (apr_palloc, qsort), support: 3, confidence: 75.00%
bug: apr_array_make in ap_dir_nofnmatch, pair: (apr_array_make, apr_array_push), support: 83, confidence: 82.18%
bug: apr_array_push in ap_dir_nofnmatch, pair: (apr_array_make, apr_array_push), support: 83, confidence: 70.34%
bug: ap_escape_errorlog_item in log_error_core, pair: (ap_escape_errorlog_item, apr_table_get), support: 4, confidence: 66.67%
bug: apr_hook_debug_show in ap_hook_map_to_storage, pair: (apr_array_push, apr_hook_debug_show), support: 63, confidence: 98.44%
bug: apr_hook_debug_show in ap_hook_map_to_storage, pair: (apr_hook_debug_show, apr_hook_sort_register), support: 63, confidence: 98.44%
bug: apr_hook_debug_show in ap_hook_map_to_storage, pair: (apr_array_make, apr_hook_debug_show), support: 63, confidence: 98.44%
bug: apr_array_push in ap_hook_map_to_storage, pair: (apr_array_make, apr_array_push), support: 83, confidence: 70.34%
bug: apr_hook_sort_register in ap_hook_map_to_storage, pair: (apr_hook_debug_show, apr_hook_sort_register), support: 63, confidence: 98.44%
bug: apr_hook_sort_register in ap_hook_map_to_storage, pair: (apr_array_push, apr_hook_sort_register), support: 63, confidence: 98.44%
bug: apr_hook_sort_register in ap_hook_map_to_storage, pair: (apr_array_make, apr_hook_sort_register), support: 63, confidence: 98.44%
bug: apr_array_make in ap_hook_map_to_storage, pair: (apr_array_make, apr_array_push), support: 83, confidence: 82.18%
bug: ap_pcfg_strerror in ap_soak_end_container, pair: (ap_pcfg_strerror, ap_varbuf_cfg_getline), support: 3, confidence: 100.00%
bug: ap_pcfg_strerror in ap_soak_end_container, pair: (ap_pcfg_strerror, ap_varbuf_free), support: 3, confidence: 100.00%
bug: ap_pcfg_strerror in ap_soak_end_container, pair: (ap_pcfg_strerror, ap_varbuf_init), support: 3, confidence: 100.00%
bug: ap_varbuf_free in ap_soak_end_container, pair: (ap_varbuf_cfg_getline, ap_varbuf_free), support: 3, confidence: 75.00%
bug: ap_varbuf_free in ap_soak_end_container, pair: (ap_pcfg_strerror, ap_varbuf_free), support: 3, confidence: 75.00%
bug: ap_varbuf_free in ap_soak_end_container, pair: (ap_varbuf_free, ap_varbuf_init), support: 3, confidence: 75.00%
bug: ap_varbuf_init in ap_soak_end_container, pair: (ap_varbuf_cfg_getline, ap_varbuf_init), support: 3, confidence: 100.00%
bug: ap_varbuf_init in ap_soak_end_container, pair: (ap_varbuf_free, ap_varbuf_init), support: 3, confidence: 100.00%
bug: ap_varbuf_init in ap_soak_end_container, pair: (ap_pcfg_strerror, ap_varbuf_init), support: 3, confidence: 100.00%
bug: ap_scan_http_token in check_headers_table, pair: (ap_scan_http_token, apr_palloc), support: 3, confidence: 100.00%
bug: ap_scan_http_token in check_headers_table, pair: (ap_log_rerror_, ap_scan_http_token), support: 3, confidence: 100.00%
bug: ap_find_etag_strong in ap_condition_if_none_match, pair: (ap_find_etag_strong, apr_table_get), support: 3, confidence: 75.00%
bug: apr_file_open in ap_log_pid, pair: (ap_log_error_, apr_file_open), support: 5, confidence: 71.43%
bug: strncmp in basic_http_header_check, pair: (strlen, strncmp), support: 7, confidence: 70.00%
bug: ap_get_status_line in basic_http_header_check, pair: (ap_get_status_line, apr_table_get), support: 3, confidence: 75.00%
